.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq
1,GLMNET,Test,394.42846196754573,513.6448182189941,0.09753809793848069,87.67959051837013,788.8533774845786,0.992298005024609
2,RANGER,Test,297.4603355263158,35.35725038080557,0.07355887857242517,25.580113773413625,1236.613448048738,0.9980183255771182
3,XGBOOST,Test,162.5257784379156,21.157900381039603,0.040190951777992104,25.097175950050016,420.4020093814161,0.9986334766284599
